importance,++
author,Knutson et al
title,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI
table_name,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome
keywords,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential loss; no outcome
Left/Right,Name,Broadman Area,z-score,X(R),Y(A),Z(S)
R.,Ant. insula,13,4.26,35,14,1
R.,Caudate,,4.62,11,-3,14
L.,Caudate,,4.16,-16,-3,8
,Thalamus,,4.92,-8,-2,10
,Mes. prefrontal ctx,32,4.33,4,32,38
L.,motor ctx.,4,4.22,-34,-14,59
,Cerebellar vermis,,5.24,0,-63,-19